Time(year-month-day h:m:s),Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
1/1/2019 0:00,0,0,0,-3270.9,1028.9,57.6,-0.04 
1/1/2019 0:15,0,0,0,-3270.6,1028.7,58.3,-0.04 
1/1/2019 0:30,0,0,0,-3270.6,1028.7,58,-0.04 
1/1/2019 0:45,0,0,0,-3270.7,1028.6,57.2,-0.04 
1/1/2019 1:00,0,0,0,-3270.9,1028.6,56.9,-0.04 
1/1/2019 1:15,0,0,0,-3271.1,1028.4,56.1,-0.04 
1/1/2019 1:30,0,0,0,-3270.7,1028.3,56.9,-0.04 
1/1/2019 1:45,0,0,0,-3270.6,1028.2,57.7,-0.04 
1/1/2019 2:00,0,33,0,-3270.5,1028.2,57.9,-0.04 
1/1/2019 2:15,0,0,0,-3270.4,1028,57.6,-0.04 
1/1/2019 2:30,0,0,0,-3269.9,1028.2,57.8,-0.04 
1/1/2019 2:45,0,33,0,-3269.9,1028,56.9,-0.04 
1/1/2019 3:00,0,0,0,-3269.6,1027.9,57,-0.04 
1/1/2019 3:15,0,0,0,-3269.4,1027.7,57.7,-0.04 
1/1/2019 3:30,0,0,0,-3269.4,1027.6,58.9,-0.04 
1/1/2019 3:45,0,0,0,-3269.3,1027.5,59,-0.04 
1/1/2019 4:00,0,0,0,-3269.2,1027.4,59.4,-0.04 
1/1/2019 4:15,0,0,0,-3269.4,1027,59.2,-0.04 
1/1/2019 4:30,0,0,0,-3269.4,1026.9,58.5,-0.04 
1/1/2019 4:45,0,0,0,-3269.4,1026.9,58.3,-0.04 
1/1/2019 5:00,0,0,0,-3269.3,1027.1,58.9,-0.04 
1/1/2019 5:15,0,0,0,-3269.5,1027.1,59.2,-0.04 
1/1/2019 5:30,0,0,0,-3269.6,1027.1,59.4,-0.04 
1/1/2019 5:45,0,0,0,-3269.7,1027.2,59.4,-0.04 
1/1/2019 6:00,0,0,0,-3269.5,1026.9,58.8,-0.04 
1/1/2019 6:15,0,0,0,-3269.6,1026.9,58.2,-0.04 
1/1/2019 6:30,0,0,0,-3269.7,1026.6,57.2,-0.04 
1/1/2019 6:45,0,39,0,-3269.5,1026.7,57.4,-0.04 
1/1/2019 7:00,0,0,0,-3269.8,1026.6,57.2,-0.04 
1/1/2019 7:15,0,0,0,-3269.6,1026.5,57.7,-0.04 
1/1/2019 7:30,47,0,0,-3269.8,1026.6,57.4,0.10 
1/1/2019 7:45,124,0,0,-3270,1026.6,56.2,0.40 
1/1/2019 8:00,206,30,33,-3270,1026.7,56.8,1.03 
1/1/2019 8:15,281,0,40,-3270.8,1026.8,56.5,1.94 
1/1/2019 8:30,368,0,45,-3271.3,1026.8,54.7,2.95 
1/1/2019 8:45,433,0,47,-3271.9,1026.7,53.5,4.06 
1/1/2019 9:00,506,0,50,-3272.3,1026.9,53,8.21 
1/1/2019 9:15,565,33,55,-3273,1027.1,52.6,9.35 
1/1/2019 9:30,620,0,57,-3273.3,1027.2,51.1,8.32 
1/1/2019 9:45,681,0,58,-3273.7,1026.9,51,5.52 
1/1/2019 10:00,716,0,63,-3274.4,1027,50.3,5.84 
1/1/2019 10:15,744,0,67,-3274.8,1027.1,49.2,5.72 
1/1/2019 10:30,778,0,69,-3275.1,1027.1,47.3,8.58 
1/1/2019 10:45,799,0,77,-3275.8,1026.9,46.8,7.89 
1/1/2019 11:00,822,0,74,-3276.1,1026.6,46.9,11.91 
1/1/2019 11:15,855,0,71,-3276.5,1026.1,46.1,12.12 
1/1/2019 11:30,863,0,73,0.1,1026,45.3,12.22 
1/1/2019 11:45,878,0,72,0.3,1025.6,44.5,21.13 
1/1/2019 12:00,875,0,75,0.7,1025.6,44.6,20.34 
1/1/2019 12:15,869,0,77,1.3,1025.7,43.9,21.29 
1/1/2019 12:30,862,0,76,1.8,1025.3,44.2,20.63 
1/1/2019 12:45,867,0,75,1.7,1025.1,44.1,20.65 
1/1/2019 13:00,826,31,79,1.2,1024.8,46.6,20.37 
1/1/2019 13:15,784,0,81,1.3,1024.5,45.4,19.75 
1/1/2019 13:30,748,0,82,1.7,1024.6,43,19.00 
1/1/2019 13:45,715,40,80,2.4,1024.5,39.7,17.91 
1/1/2019 14:00,671,0,79,2.3,1024.4,44.4,16.49 
1/1/2019 14:15,639,0,77,1.5,1024.5,46.8,15.07 
1/1/2019 14:30,569,0,73,1.6,1024.4,47.3,14.01 
1/1/2019 14:45,532,0,74,1.4,1024.5,48.2,12.89 
1/1/2019 15:00,482,0,70,0.8,1024.3,51.5,11.13 
1/1/2019 15:15,420,0,66,0.7,1024.6,48.9,9.17 
1/1/2019 15:30,344,45,62,0.6,1024.7,48.7,3.99 
1/1/2019 15:45,271,43,56,0.6,1024.7,49.2,2.75 
1/1/2019 16:00,197,43,48,0.4,1024.8,49.9,1.85 
1/1/2019 16:15,132,33,37,0,1024.9,49.6,0.96 
1/1/2019 16:30,68,52,0,-3276.4,1025,52.5,0.34 
1/1/2019 16:45,0,0,0,-3275.7,1025.1,55.5,0.17 
1/1/2019 17:00,0,0,0,-3275.2,1025,54.4,0.00 
1/1/2019 17:15,0,0,0,-3274.7,1025.2,54.8,-0.06 
1/1/2019 17:30,0,40,0,-3274.7,1025.6,54.4,-0.04 
1/1/2019 17:45,0,0,0,-3274.6,1025.7,56,-0.04 
1/1/2019 18:00,0,0,0,-3274.5,1026,57.3,-0.04 
1/1/2019 18:15,0,0,0,-3274.4,1026.2,56.2,-0.04 
1/1/2019 18:30,0,0,0,-3274.2,1026.5,56.1,-0.04 
1/1/2019 18:45,0,0,0,-3274,1026.3,55.9,-0.04 
1/1/2019 19:00,0,0,0,-3273.9,1026.7,56.5,-0.04 
1/1/2019 19:15,0,0,0,-3273.7,1026.8,57.3,-0.04 
1/1/2019 19:30,0,0,0,-3273.6,1027,57.4,-0.04 
1/1/2019 19:45,0,0,0,-3273.6,1027.2,57.8,-0.04 
1/1/2019 20:00,0,0,0,-3273.5,1027.2,58.1,-0.04 
1/1/2019 20:15,0,0,0,-3273.6,1027.2,58.5,-0.04 
1/1/2019 20:30,0,0,0,-3273.5,1027.3,59.1,-0.04 
1/1/2019 20:45,0,0,0,-3273.2,1027.3,59,-0.04 
1/1/2019 21:00,0,0,0,-3273.2,1027.7,59.7,-0.04 
1/1/2019 21:15,0,0,0,-3272.9,1027.7,60.9,-0.04 
1/1/2019 21:30,0,0,0,-3273.3,1027.8,60.7,-0.03 
1/1/2019 21:45,0,0,0,-3272.9,1027.9,60.7,-0.04 
1/1/2019 22:00,0,0,0,-3272.9,1028.1,61.2,-0.04 
1/1/2019 22:15,0,0,0,-3273.2,1028.1,61.1,-0.04 
1/1/2019 22:30,0,0,0,-3272.8,1028.1,61.1,-0.04 
1/1/2019 22:45,0,0,0,-3272.9,1028.2,61.6,-0.04 
